vid,cid,title,description
ymTjYXA9MWw,UCN0-RRaxMgh86eOwndAklxw,Your Greatest Victory And Your Greatest Mistake,High Thumos Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim Nutrition ...
sfTsHtk9RDM,UCN0-RRaxMgh86eOwndAklxw,The Primordial Beast Demands Hypertrophy – The Golden One Summer Training Video,High Thumos Clothing: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim Nutrition Sverige: ...
q0ImvyxODcU,UCN0-RRaxMgh86eOwndAklxw,Archetypes,Check out the Bizarchives: http://thebizarchives.com/ ⚜High Thumos Clothing: https://legiogloria.com/ 🎙️Podcast: ...
7O2UzSbTAgQ,UCN0-RRaxMgh86eOwndAklxw,Afghanistan. Central Asian History Month – Book Recommendations,High Thumos Clothing: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim Nutrition Sverige: ...
mghRmDBvRTE,UCN0-RRaxMgh86eOwndAklxw,"Christopher Da Gama&#39;s Expedition 1542: Age of Empires 3 – Also, A Note on Portuguese Courage",Book review of Roger Crowley's Conquerors: How Portugal Forged the First Global Empire: ...
o5WeTabbXHU,UCN0-RRaxMgh86eOwndAklxw,The Wild Hunt Challenge – You Must Do This,The steps are here as well: https://thegoldenone.se/2021/08/08/the-wild-hunt-challenge-august-2021/ ⚜High Thumos Clothing + ...
2lfLtKB_IX8,UCN0-RRaxMgh86eOwndAklxw,SURPRISE FLEX,New Releases! https://legiogloria.com/ 🎙️Podcast: https://www.patreon.com/thegoldenone or ...
c4SvYCQOQRc,UCN0-RRaxMgh86eOwndAklxw,Glory and Extreme Sports – Worth Risking Your Life For?,Podcast: https://www.patreon.com/thegoldenone or https://www.subscribestar.com/thegoldenone or ...
14l092GdI4g,UCN0-RRaxMgh86eOwndAklxw,Total War: Warhammer 2 - Thorek Ironbrow - The Silence &amp; The Fury,High Thumos Clothing + My Book: https://legiogloria.com/ 🎙️Podcast: https://www.patreon.com/thegoldenone or ...
jnGe3mtIXik,UCN0-RRaxMgh86eOwndAklxw,Understanding Evil and Hatred,Social Media Telegram: https://t.me/thegoldenone Gab: https://gab.com/TheGoldenOne 🕊️Twitter: ...
7tg9utMlV58,UCN0-RRaxMgh86eOwndAklxw,Why They Hate Me,High Thumos Clothing + My Book: https://legiogloria.com/ 🎙️Podcast: https://www.subscribestar.com/thegoldenone Jotunheim ...
K1vMWk8SrTo,UCN0-RRaxMgh86eOwndAklxw,Only High Thumos Chads Will Admire This Intro - Here Is Why,High-Thumos European Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim ...
2LV0Lk8MQs0,UCN0-RRaxMgh86eOwndAklxw,An Update on Fizeek Friday — Last Friday of Each Month,High Thumos Clothing + My Book: https://legiogloria.com/ 🎙️Podcast: https://www.patreon.com/thegoldenone or ...
p7Pm0SEc25k,UCN0-RRaxMgh86eOwndAklxw,Common-Sense Advice Regarding the Ladies,High Thumos Clothing + My Book: https://legiogloria.com/ 🎙️Podcast: https://www.patreon.com/thegoldenone or ...
zmj_bWcJhkI,UCN0-RRaxMgh86eOwndAklxw,I Was Wrong - But I Understand Now,This video is about purpose (the hair is just an aspect of a greater topic). ⚜High Thumos Clothing + My Book: ...
4oGiE6opziI,UCN0-RRaxMgh86eOwndAklxw,"Magic is Real - And a Note on Being More Likeable. Also, Admire the Intro",Podcast: https://www.patreon.com/thegoldenone or https://www.subscribestar.com/thegoldenone ⚜High Thumos Clothing + My ...
sV-vbPWGrXw,UCN0-RRaxMgh86eOwndAklxw,"Update on Dauntless and My Coming Book - Also, Admire the Intro",Dauntless is available here: https://legiogloria.com/ 🎙️Podcast: https://www.patreon.com/thegoldenone or ...
Yo9gV0cPKyI,UCN0-RRaxMgh86eOwndAklxw,"SunMAXXing, Sunscreen (Avoid), Collagen, Vitamin D",High Thumos Clothing + My Book: https://legiogloria.com/ 🎙️Podcast: https://www.patreon.com/thegoldenone or ...
aFXwYNJQk3s,UCN0-RRaxMgh86eOwndAklxw,Gains Kitchen - Elixir of Ultimate Health and Hypertrophy,Jotunheim Whey US: https://jotunheimnutrition.com/ Recipe available on the page as well. ⚜High Thumos Clothing + My Book: ...
vNd3xvOxaQE,UCN0-RRaxMgh86eOwndAklxw,A 40-Hour Fast - Autophagy - Body Cleanse,Jotunheim USA Webshop: https://jotunheimnutrition.com/ ⚜ New European-made linen garments: https://legiogloria.com/ ...
aRa1zUPcrjk,UCN0-RRaxMgh86eOwndAklxw,How Will Posting Physique And Fizeek Friday Benefit Our Daughters?,It is simple really! ⚜High Thumos Clothing + My Book: https://legiogloria.com/ 🎙️Podcast: ...
7sNeL4oAI9c,UCN0-RRaxMgh86eOwndAklxw,Black-Pills and Stoicism. Correct and Incorrect Uses of Stoicism,CHECK OUT ALL LINKS IN THE DESCRIPTION BOX: Telegram: https://t.me/thegoldenone Gab: ...
6TjjalCsmJA,UCN0-RRaxMgh86eOwndAklxw,Farewell Spotify! The Golden One PWO of Metal and Glory Playlist Update,It is mandatory to follow this link: https://thegoldenone.se/2021/03/16/the-golden-one-pwo-of-metal-and-glory-spotify/ ⚜Aesthetic ...
qtdRNjWwqiw,UCN0-RRaxMgh86eOwndAklxw,The Decline and Fall of Twitter,High Thumos Clothing + My Book: https://legiogloria.com/ Gab: https://gab.com/TheGoldenOne ...
x59xnsG6vz4,UCN0-RRaxMgh86eOwndAklxw,The Wild Hunt Challenge - March 2021 - Mindpower and Initiative,Instructions and comments: https://thegoldenone.se/2021/03/02/the-wild-hunt-challenge-march-2021-mindpower-and-initiative/ ...
uU9S3bIv0fQ,UCN0-RRaxMgh86eOwndAklxw,Extremely Hard - But Not Impossible,Mandatory to follow this link: https://thegoldenone.se/2021/02/24/the-golden-one-videoplatform/ ⚜High Thumos Clothing + My ...
E-jUCETZOyw,UCN0-RRaxMgh86eOwndAklxw,This Is Actually Great Advice,"For the love of all that is good and glorious, follow this link: https://thegoldenone.se/2021/02/24/the-golden-one-videoplatform/ ..."
BFPEs-yijNU,UCutpp9X6rKErxUkv4wKBRPA,SJWs Double Down: Anticipating the Thought Police,The #1 Political Philosophy bestseller!
dwbqasjYkHM,UCutpp9X6rKErxUkv4wKBRPA,4D Warfare by Jack Posobiec,Jack Posobiec announces his forthcoming book with Castalia House. Free book downloads available for two days: ...
vhTFkUpB8zc,UCutpp9X6rKErxUkv4wKBRPA,The Socio-Sexual Hierarchy: GAMMA,"Vox Day explains the nature and the behavioral patterns of the fourth rank of the male socio-sexual hierarchy, the Gamma male."
Q-_QyhYfReQ,UCutpp9X6rKErxUkv4wKBRPA,The Socio-Sexual Hierarchy: ALPHA,"Vox Day explains the nature and the behavioral patterns of the highest rank of the male socio-sexual hierarchy, the Alpha male."
RHpalC3WaXY,UCutpp9X6rKErxUkv4wKBRPA,Rhetoric and Dialectic,"Live from the Voxiversity Foundation villa in Barcelona, the bestselling author of JORDANETICS breaks down the important ..."
1Ua2XnYlm-o,UCutpp9X6rKErxUkv4wKBRPA,The Socio-Sexual Hierarchy,Philosopher and bestselling author Vox Day breaks down the socio-sexual hierarchy and the broad range of distinctly identifiable ...
tk62CtH6-mg,UCutpp9X6rKErxUkv4wKBRPA,Why Western Civilization Needs Christianity: Part II,The bestselling author of THE IRRATIONAL ATHEIST and ON THE EXISTENCE OF GODS discusses the implications that the ...
O7u3Lu-kzgg,UCutpp9X6rKErxUkv4wKBRPA,The Madness Of Jordan Peterson,The bestselling author of THE IRRATIONAL ATHEIST and ON THE EXISTENCE OF GODS exposes Dr. Jordan Peterson as an ...
lSo1tJZCMkc,UCutpp9X6rKErxUkv4wKBRPA,The Last Closet: The Dark Side of Avalon,Vox Day narrates his foreword to Moira Greyland's THE LAST CLOSET: The Dark Side of Avalon. This autobiography is a brutal ...
u0cKuFfYnVw,UCutpp9X6rKErxUkv4wKBRPA,Why Western Civilization Needs Christianity,The bestselling author of THE IRRATIONAL ATHEIST and ON THE EXISTENCE OF GODS defines the three pillars of Western ...
qpDNphk22uw,UCutpp9X6rKErxUkv4wKBRPA,Tariffs and China on Dialogue,"Vox Day's appearance on Dialogue with Yang Rui, in which the possible consequences of US tariffs and the response of China, ..."
v0YBVimohJY,UCutpp9X6rKErxUkv4wKBRPA,Trade War: What is it good for?,"The bestselling author of On the Question of Free Trade and The Return of the Great Depression, Vox Day, explains how a ..."
XYC0ekh-KqU,UCutpp9X6rKErxUkv4wKBRPA,Voxiversity 5.2: Inflation and Keynesian Economics,An economics lecture on the Keynesian definitions of inflation and an empirical consideration of each definition.
KXSX5mD8HwM,UCutpp9X6rKErxUkv4wKBRPA,Voxiversity 5.1: Inflation and the CPI,"An economics lecture about the Consumer Price Index, and why it should not be mistaken for the inflation which it is supposed to ..."
imfPAeEzsoU,UCGJNdaSwFeP3pLd1MhN0dRg,Good Stories Belong to the World,Announcing the alliance between Arkhaven Comics and SuperPrumo Comics.
YYN1iychtts,UCGJNdaSwFeP3pLd1MhN0dRg,Darkstream 655 The Evidence That Trump is Winning,Analyzing the historical keys to the presidential election and comparing them to the Fake News polls.
6_5cGWHkQe0,UCmrLCXSDScliR7q8AxxjvXg,2018: Zero Hour Message - Black Pigeon,[POLL] With SJWs and the Skeptics™ both discredited and utterly BTFO do you see the social and political pendulum swinging ...
DTNrIlZVt58,UCmrLCXSDScliR7q8AxxjvXg,Holiday Message from BPS,Christmas Message from BPS. All the Best this Holiday Season and remember to show kindness to those that cannot speak for ...
iNQQM3OEJE4,UCmrLCXSDScliR7q8AxxjvXg,Black Pigeon&#39;s Channel Trailer,This channel is viewer supported.* ✓ Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via ...
XuWzQPAAblQ,UCmrLCXSDScliR7q8AxxjvXg,It&#39;s Official: Living in America Makes You DUMB,Grab Atlas VPN Special deal for 82% OFF: https://get.atlasvpn.com/BlackPigeonSpeaks ------------------------------- ⭐ Get BPS Stuff ...
sb2J9s_202w,UCmrLCXSDScliR7q8AxxjvXg,Why They FEAR Elon Musk,Grab AtlasVPN Special deal for 82% OFF: https://get.atlasvpn.com/BlackPigeonSpeaks ------------------------------- Video mentioned ...
nogUTMndDok,UCmrLCXSDScliR7q8AxxjvXg,Japan&#39;s AV INDUSTRY EXPLAINED: Why Pixilate (BLUR)????,Don't miss out on a 3 years subscription with 2 extra free months for only $2.08/Month (that's 83% off) using my special link: ...
uD6qgoSs6G8,UCmrLCXSDScliR7q8AxxjvXg,Raising the Dead: DIGITAL RESURECTION BEGINS,Install Raid for Free ✓ IOS: https://clcr.me/teHpDC ✓ ANDROID: https://clcr.me/aMkPwu ✓ PC: https://clcr.me/1ImgLI and get a ...
bSPkI5Omt6A,UCmrLCXSDScliR7q8AxxjvXg,China&#39;s Govt Plan to ERADICATE &quot;Effeminate Men&quot;,Download Cashman Casino ✓ IOS: https://clcr.me/ETtjxH ✓ ANDROID: https://clcr.me/9MybjP and get 1M coins + XP x2 3hrs + ...
sfHcbuUWgHM,UCmrLCXSDScliR7q8AxxjvXg,The Science of Why Feminists Find Sexist Men Sexier,Install Raid for Free ✓ IOS/ANDROID/PC: https://clcr.me/EIi1NO and get a special starter pack Available only for the next 30 ...
0UqmfwuBfYE,UCmrLCXSDScliR7q8AxxjvXg,Tokyo Olympic Senpai Bans Hentai Creepshots,Install Raid for Free ✓ IOS: https://clcr.me/fhit16 ✓ ANDROID: https://clcr.me/6mUzUu ✓ PC: https://clcr.me/0AIpLw and get a ...
xYXd2iLKJK0,UCmrLCXSDScliR7q8AxxjvXg,The Day of Reckoning Has Arrived,Install Raid for Free ✓ IOS/ANDROID/PC: https://clcr.me/BlackPigeonSpeaks and get a special starter pack Available only for ...
bwkG3qF--KM,UCmrLCXSDScliR7q8AxxjvXg,Why Can&#39;t We HAVE CYBERPUNK PUBLIC COMMODES?,Install Raid for Free ✓ IOS: https://clcr.me/6aEIRU ✓ ANDROID: https://clcr.me/9xvAEk ✓ PC: https://clcr.me/h3332Z and get a ...
6-266bADD-M,UCmrLCXSDScliR7q8AxxjvXg,The Rise of the Modern Emasculated Man,Install Raid for Free ✓ IOS: https://clcr.me/NIGxEw ✓ ANDROID: https://clcr.me/e2dDzT ✓ PC: https://clcr.me/vpyT0B and get a ...
Mf3l40RMAPc,UCmrLCXSDScliR7q8AxxjvXg,The 2020s: Coming Decade of Crises and Turmoil,New Channel Felix Rex: https://tinyurl.com/w7ru923 ✓ BitChute: https://www.bitchute.com/profile/bBzmz0SCxhFG/ Support BPS ...
n6qBXjx3lu0,UCmrLCXSDScliR7q8AxxjvXg,MGTOW: Symptom of a Dysfunctional Society,Support My Channel! Download Free ⚔️ Vikings War Of Clans Here ➤ IOS: https://clcr.me/8hQSpR ➤ Android: ...
JpPjZkgvUnY,UCmrLCXSDScliR7q8AxxjvXg,Paris Syndrome: Mental Illness or Reality Check?,Felix Rex - New Channel I will be working at : https://cutt.ly/ZrqIvU4 ✓ Channel One - (pod cast) coming VERY soon: ...
hVbrVaLIYvA,UCmrLCXSDScliR7q8AxxjvXg,Spiritual Reason Why Japan Rejects Western Style Globalism,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via SubscribeStar: ...
3tr43h-N7hc,UCmrLCXSDScliR7q8AxxjvXg,CHINA Accuses the CIA of DESTROYING ASIAN MASCULINITY,Support My Channel! Sign up Vikings War Of Clans and get “Novice's Relocation” item and 200 Gold for FREE ...
vKb01XLPR7E,UCmrLCXSDScliR7q8AxxjvXg,CAESARISM: The Decline of the West,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via SubscribeStar: ...
ORN19LkcpL8,UCmrLCXSDScliR7q8AxxjvXg,2019 Shibuya Halloween Street Party,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via SubscribeStar: ...
IBnwH6o_ew8,UCmrLCXSDScliR7q8AxxjvXg,LEFT OVER WOMEN &amp; the Gigolos that Love Them,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via SubscribeStar: ...
4hh6CTvmQec,UCmrLCXSDScliR7q8AxxjvXg,Jordan Peterson: The Unexpected SAVIOR/VILLAIN: Warts &amp; ALL,"00:45- 00:54 Should be credited to Free Bird Media: https://rb.gy/dccbb8 rather than ""Jordan Peterson Dismantled."" ✓ Support ..."
DGQIHPNq5cE,UCmrLCXSDScliR7q8AxxjvXg,China&#39;s Generation ZEN - The Blackest Pill of All,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via SubscribeStar: ...
ZK6gLY6yt0s,UCmrLCXSDScliR7q8AxxjvXg,"Hanoi, VIETNAM | City, Perspectives &amp; Historic Echos",New Channel Shinjuku Hato: https://www.youtube.com/channel/UCcOdNCF5e5Ev-57AWf_LpkA Hanoi has changed so much in ...
KO3ct4iCkfU,UCmrLCXSDScliR7q8AxxjvXg,California: America&#39;s First THIRD WORLD STATE,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via SubscribeStar: ...
fgbG8AggcHs,UCmrLCXSDScliR7q8AxxjvXg,The GOD EMPEROR on Manufactured First World Problems,BitChute: https://www.bitchute.com/profile/bBzmz0SCxhFG/ ✓ Gab: https://gab.ai/blackpigeonA ✓ Minds: ...
XeMADwvtn0Y,UCmrLCXSDScliR7q8AxxjvXg,What Government Knows &amp; Political Class WONT TELL YOU,Install Raid for Free ✓ IOS: https://bit.ly/2Hr9C3m ✓ ANDROID: https://bit.ly/2MGUP8Y Start with  50K silver and get a Free Epic ...
acnAjbWAjzI,UCmrLCXSDScliR7q8AxxjvXg,The Political WEAPONIZATION of Phobias,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via SubscribeStar: ...
lCL4T3Czp2A,UCmrLCXSDScliR7q8AxxjvXg,Research Paper Shows: STRONG BORDERS Make For Good Neighbors,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via SubscribeStar: ...
iAmvVh79nLE,UCmrLCXSDScliR7q8AxxjvXg,END of a Free Hong Kong BEGINS,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via SubscribeStar: ...
E3o4i7NtkRI,UCmrLCXSDScliR7q8AxxjvXg,America: From Apollo to WOKE &amp; BROKE in 50 Years,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via SubscribeStar: ...
ux8Z7daMz5g,UCmrLCXSDScliR7q8AxxjvXg,Japan | Going Their Own Way,Install Coin Master now and get 300000 coins & 50 slot spins to get started http://bit.ly/2XDeDjz ...
f2gUWUQulLo,UCmrLCXSDScliR7q8AxxjvXg,The Opera of Black Pigeon: IMPORTANT Channel Information,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via SubscribeStar: ...
VYmsUyjED1E,UCmrLCXSDScliR7q8AxxjvXg,"Impermanence &amp; Malleability of Society, Culture &amp; Morality",Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via Patreon: https://www.patreon.com/blackpigeon ...
WfrWddAgug8,UCmrLCXSDScliR7q8AxxjvXg,The Ballad Of Black Pigeon vs WITLESS FANATICS,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via Patreon: https://www.patreon.com/blackpigeon ...
4vpm63bZYuo,UCmrLCXSDScliR7q8AxxjvXg,America Will MAKE BRITAIN GREAT AGAIN!,Check Out LinkYou: https://linkyou.blog/ ✓ Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via ...
neqojhViTaU,UCmrLCXSDScliR7q8AxxjvXg,RESIST BLUMPF Protest Carnival: London 2019,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via Patreon: https://www.patreon.com/blackpigeon ...
VlVtVPFrg7o,UCmrLCXSDScliR7q8AxxjvXg,REVOLUTIONARY DESIGN: London Underground Map,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via Patreon: https://www.patreon.com/blackpigeon ...
zbN43ts-HH4,UCmrLCXSDScliR7q8AxxjvXg,"Morrissey: The Hero We Don&#39;t Deserve, But Need Right Now",Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via Patreon: https://www.patreon.com/blackpigeon ...
oobSR-ihtpg,UCmrLCXSDScliR7q8AxxjvXg,NPC Journalism&#39;s Socially Manufacturing Role,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via Patreon: https://www.patreon.com/blackpigeon ...
gOWik_znyUw,UCmrLCXSDScliR7q8AxxjvXg,American EMPIRE: Trump Mismanaging Imperial DECLINE,Support My Channel! Download Free ⚔️ Vikings War Of Clans Here ➤ IOS: https://bit.ly/2ZxtfhK ➤ Android: ...
COOiV2teMeo,UCmrLCXSDScliR7q8AxxjvXg,2019: The SEETHING DisUnited States of America,Install Raid for Free ✓ IOS: https://bit.ly/2ZtE0BM ✓ ANDROID: https://bit.ly/2UQoEIM Start with  50K silver and get a Free Epic ...
daHUcjEv2Po,UCmrLCXSDScliR7q8AxxjvXg,Kanamara: Venerating the One Eyed Monster,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via Patreon: https://www.patreon.com/blackpigeon ...
zGccmJjFY20,UCmrLCXSDScliR7q8AxxjvXg,Notre Dame: Postmodern Synchronicity &amp; Fragility,BP Stream - new content streaming coming VERY soon: https://goo.gl/ozYUJk ✓Navy Hato - a Rolling-Stone channel and my take ...
Z9P6o35hdMI,UCmrLCXSDScliR7q8AxxjvXg,How the Death of One Man SAVED Western Civilization,Download Backgammon Live NOW! https://bit.ly/2IeC7TN The first 10 users that'll reach level 25 will get 100000 FREE COINS in ...
UESBPWEk1Qw,UCmrLCXSDScliR7q8AxxjvXg,Burma | Misunderstood and Slandered by the MSM,Support My Channel! Sign up Vikings War Of Clans and get “Novice's Relocation” item and 200 Gold for FREE ...
p2yKyC8wVt8,UCmrLCXSDScliR7q8AxxjvXg,DYSTOPIA California: Window to America’s FUTURE,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via Patreon: https://www.patreon.com/blackpigeon ...
4cm2mKevXgA,UCmrLCXSDScliR7q8AxxjvXg,Japan REJECTS The West&#39;s Culture of Emotional Outrage,Support My Channel! Download Free ⚔️ Vikings War Of Clans Here ➤ IOS: https://bit.ly/2GyOVUs ➤ Android: ...
rPzeu96QJ6w,UCmrLCXSDScliR7q8AxxjvXg,Three of the  BLACKEST PILLS of All,Support BPS via Patreon: https://www.patreon.com/blackpigeon ✓ Tip Jar: via PayPal to: navyhato@gmail.com ✓ Your ...
R3ODk0_rA44,UCmrLCXSDScliR7q8AxxjvXg,Why &quot;Learn to Code&quot; Meme ENRAGES the Media,Support BPS Directly: https://blackpigeonspeaks.com/#patron ✓ Support BPS via Patreon: https://www.patreon.com/blackpigeon ...
FaW3bvsqLjA,UCmrLCXSDScliR7q8AxxjvXg,Face of Pre-Crime: China&#39;s Shockingly Accurate A.I.,Support BPS via Patreon: https://www.patreon.com/blackpigeon ✓ Tip Jar: via PayPal to: navyhato@gmail.com ✓ Your ...
8_RtHctpV1A,UCmrLCXSDScliR7q8AxxjvXg,Masculinity: A Harmful RELIC of the Unenlightened,Support BPS via Patreon: https://www.patreon.com/blackpigeon ✓ Tip Jar: via PayPal to: navyhato@gmail.com ✓ Your ...
QZNaXhxoCpM,UCmrLCXSDScliR7q8AxxjvXg,Evolution of Time: Babylon to the Renaissance,Support BPS via Patreon: https://www.patreon.com/blackpigeon ✓ Tip Jar: via PayPal to: navyhato@gmail.com ✓ Your ...
l3vWcEoolfQ,UCBceihEYR7elOoeWTuDhAzA,This is Europa - Our Home,"A short tribute to Europa, our land & home. ↓Don't forget to subscribe & turn on notifications!↓ ✓Subscribe: https://goo.gl/ua6mzs ..."
Qfu-PVSwnBg,UCBceihEYR7elOoeWTuDhAzA,Our Paradise on Earth - A Tribute to Europa,There are so many things that we take for granted in this world... Become a Patron to support our work and get early access and ...
rhZHPwbvApw,UCBceihEYR7elOoeWTuDhAzA,This is Europa - All the Things We Cherish,A tribute to our beloved Europa and all the things we cherish. None of it would exist without our people. Visit this site if you want to ...
ycAgA36lg9M,UCBceihEYR7elOoeWTuDhAzA,This is Europa - A World To Imagine,Imagine a world where European beauty was allowed to truly flourish. More of This is Europa: https://www.thisiseuropa.net Like us ...
JYvgvkKT0Ow,UCBceihEYR7elOoeWTuDhAzA,This is Europa - We are Europe,"We LOVE Europa! If you liked this video, remember to subscribe for more! https://www.thisiseuropa.net."
M4HDUJZgZQg,UCBceihEYR7elOoeWTuDhAzA,This is Europa - Like a Fairytale,Our beautiful Europa is like a fairytale. https://www.thisiseuropa.net/
qXdojiReZ5Y,UCBceihEYR7elOoeWTuDhAzA,Douglas Murray VS Political Correctness,This is how you answer political correct arguments with ease. Douglas Murray easily debunked it. More of This is Europa: ...
0v5uvkszugk,UCBceihEYR7elOoeWTuDhAzA,This is Europa - What We Love,Follow us on https://www.thisiseuropa.net.
5ZlSfWV36yg,UCBceihEYR7elOoeWTuDhAzA,This is Europa - Europe as it should be,Europe as it should be!
0UPCpMrLffQ,UC66IBH4uFkBTzEh2olFFJSg,Trump Rally,
SAwAktSl_Qk,UC66IBH4uFkBTzEh2olFFJSg,Trump Rally,
A4Z8wJz4ezY,UC66IBH4uFkBTzEh2olFFJSg,Trump Rally,
Q-K5tKOZWag,UC66IBH4uFkBTzEh2olFFJSg,Trump Rally,
dA_W9HLBMDY,UC66IBH4uFkBTzEh2olFFJSg,Trump Media Exposed! What Is Non Linear Warfare?,Charlie Brookers 2014 Wipe - Non Linear Warfare by Media (Summary with Adam Curtis)
-Ef1q75tsdY,UCur6nu-T7FilkEztCm_S8yA,This Is A Global Palace Coup | The Delingpod Live with Maajid Nawaz,"A clip from The Delingpod Live with Maajid Nawaz, sponsored by CAR26."
cVHHVTZH9kw,UCur6nu-T7FilkEztCm_S8yA,Special Announcement!!,James has got some exciting news to share!!!
1ZJmvDPhI2k,UCur6nu-T7FilkEztCm_S8yA,Join The James Delingpole Community!,Freedom isn't free - James needs your support to continue creating The Delingpod. There are many ways you can show your ...
3vmocWPFuuM,UCur6nu-T7FilkEztCm_S8yA,The Effectiveness of Fearmongering | Sonia Elijah &amp; James Delingpole,Full episode available: https://odysee.com/@JamesDelingpoleChannel:0.
Twpw_zcuIqk,UCur6nu-T7FilkEztCm_S8yA,The Sabbatean-Frankists | Michael O&#39;Bernicia &amp; James Delingpole,Full episode available: https://odysee.com/@JamesDelingpoleChannel:0.
k8PhwPJXwHs,UCur6nu-T7FilkEztCm_S8yA,Dick and James go to the zoo,Dick and James bond with a baby rhino...
UhnSUDpMHhQ,UCur6nu-T7FilkEztCm_S8yA,Very quick test to see if superchat works,
rYyvrRemH54,UCur6nu-T7FilkEztCm_S8yA,Douglas Murray - A Taster,To listen to this episode in full now - and to listen to other delingpods 3 days early - become a patron of the delingpod either at ...
FC_H8aW11Y4,UCur6nu-T7FilkEztCm_S8yA,Luke Johnson - A Teaser,"Luke Johnson is an entrepreneur, chairman of private equity house Risk Capital Partnership, serial investor in companies ..."
hCTBixmYlr0,UCur6nu-T7FilkEztCm_S8yA,Dr James Todaro - A Taster,"MD, ophthalmologist, co-author of 'An Effective Treatment for Coronavirus', talks about Hydroxychloroquine, #Lancetgate, Donald ..."
kHU5FSnRY2U,UCur6nu-T7FilkEztCm_S8yA,Dame Helena Morrissey - A Taster,"James talks to Dame Helena Morrissey - former bond trader turned City fund manager, mother of nine, all round superwoman ..."
bGYncyl19pE,UCur6nu-T7FilkEztCm_S8yA,Dr John Lee - A Taster,"James talks to Dr John Lee, Spectator writer and former clinical professor of pathology at Hull York Medical School and consultant ..."
yov4FsRlgNQ,UCur6nu-T7FilkEztCm_S8yA,Steve Wichett - A Taster,"Steve Witchett - Wizard. NLP Master Practitioner, Hypnotherapist, Psychotherapist, Counsellor - Steve is the mental health wizard ..."
MTPTcT3goW8,UCur6nu-T7FilkEztCm_S8yA,John McAfee - a taster...,"James catches up with libertarian wildman, John McAfee. Hold on to your hats... To listen to the full episode now and to support ..."
QSdN9OzB6pY,UCur6nu-T7FilkEztCm_S8yA,Robert Jackman - A Taster,"James talks to Robert Jackman. They discuss Covid-19, breaking rules, conspiracies, climate scepticism, men with guns and ..."
vVmIszHH7lo,UCur6nu-T7FilkEztCm_S8yA,Simon Dolan - A Taster,"You can listen to the episode in full, now, over on Patreon Please consider supporting the Delingpod: ..."
5LnojuZg1Bc,UCur6nu-T7FilkEztCm_S8yA,The Guest... A Taster,Delingpole's guest is Dick Delingpole! To listen to this episode in full right now (and all other forthcoming episodes 3 days early) ...
DrMDzokax7Y,UCur6nu-T7FilkEztCm_S8yA,Aidan Hartley - A Taster...,"Delingpole's guest is Aidan Hartley, author of Paradise of Thorns, the sequel to his memoir Zanzibar Chest."
60nFxf6EFsM,UCur6nu-T7FilkEztCm_S8yA,Delingpod: Carbon Mike II - a taster...,To listen to this episode in full right now (and all other forthcoming episodes 3 days early) - simply subscribe to my patreon: ...
Kg3aKFRH-YM,UCur6nu-T7FilkEztCm_S8yA,Delingpod: Scott Arthur - A Taster...,To listen to this episode in full right now (and all other forthcoming episodes 3 days early) - simply subscribe to my patreon: ...
OSDEWfmjz5E,UCur6nu-T7FilkEztCm_S8yA,Delingpod BTS: James Gives a Special Friend Badge to Peter Hitchens,Get your very own Special Friend Badge here: http://delingpoleworld.com/2019/12/10/special-friend-badges/#more-30050 Listen ...
8391kTwyLPY,UCur6nu-T7FilkEztCm_S8yA,Delingpod Christmas Special Trailer,Just a hint of what's to come--soon!
