RELEVANT_IMPRESSIONS_DAILY,FROM_IDEOLOGY,TO_IDEOLOGY,FROM_MEDIA,TO_MEDIA,FROM_LR,TO_LR
19831.845018436,Black,Anti-SJW,YouTube,YouTube,C,R
188040.106624259,Socialist,Social Justice,YouTube,Mainstream Media,L,L
24263.363877695,Partisan Left,Religious Conservative,Mainstream Media,YouTube,L,R
4971.070812389,Socialist,Religious Conservative,YouTube,YouTube,L,R
615.431924391,Unclassified,Social Justice,YouTube,YouTube,C,C
2185.701208237,White Identitarian,Conspiracy,YouTube,YouTube,R,C
0.1557918238,Anti-SJW,White Identitarian,Missing Link Media,YouTube,R,R
3763.291357365,Unclassified,Social Justice,YouTube,Missing Link Media,L,L
5.804586107,Conspiracy,LGBT,YouTube,YouTube,C,L
603393.057374341,Partisan Left,Social Justice,Mainstream Media,YouTube,L,L
7641.441953058,Anti-theist,Center/Left MSM,YouTube,Mainstream Media,L,C
244.802285769,Unclassified,Partisan Right,YouTube,Missing Link Media,L,R
14.758528017,Center/Left MSM,LGBT,Mainstream Media,YouTube,L,L
34.786352694,Social Justice,Partisan Right,YouTube,YouTube,C,R
34088.232518417,Anti-SJW,Center/Left MSM,Missing Link Media,Mainstream Media,R,L
2897.043835564,Religious Conservative,Religious Conservative,Missing Link Media,YouTube,R,C
128.570762148,Partisan Right,Social Justice,YouTube,Mainstream Media,C,L
1260.93374145,,Partisan Left,,Mainstream Media,,L
18289.772683391,MRA,Libertarian,YouTube,YouTube,R,R
197577.401660256,Unclassified,Partisan Right,Mainstream Media,Mainstream Media,R,R
134389.296032335,Partisan Left,Anti-SJW,Mainstream Media,YouTube,L,C
25392.974317463,Anti-SJW,Anti-SJW,Missing Link Media,YouTube,R,C
1822.841119373,Socialist,MRA,YouTube,YouTube,L,R
2.641526602,Conspiracy,Center/Left MSM,YouTube,Missing Link Media,C,L
150.812712907,Unclassified,Anti-theist,YouTube,YouTube,R,L
147554.143597506,Center/Left MSM,Unclassified,Mainstream Media,Mainstream Media,L,R
428.061738461,Libertarian,Unclassified,YouTube,YouTube,C,L
15884.58309988,MRA,Center/Left MSM,YouTube,Missing Link Media,R,C
109278.984034367,LGBT,LGBT,YouTube,YouTube,L,L
15.582966207,LGBT,Black,YouTube,YouTube,L,C
492.640409864,White Identitarian,Anti-theist,YouTube,YouTube,R,L
871.573637489,Partisan Left,Unclassified,YouTube,Mainstream Media,C,R
85.888403851,Anti-theist,QAnon,YouTube,YouTube,C,R
62.105029913,Religious Conservative,MRA,Missing Link Media,YouTube,R,C
1036.99612594,Partisan Right,Religious Conservative,Missing Link Media,YouTube,R,C
10044.437976352,Unclassified,Social Justice,Mainstream Media,Missing Link Media,R,L
64937.980544136,Black,Social Justice,YouTube,Mainstream Media,L,L
3371.020854888,Social Justice,Unclassified,Missing Link Media,Mainstream Media,L,L
75.523794491,Anti-theist,Unclassified,YouTube,Mainstream Media,L,L
8880.592084573,Anti-SJW,Unclassified,Missing Link Media,YouTube,R,R
5232.40952816,Anti-SJW,Social Justice,YouTube,Mainstream Media,L,L
32078.827667983,Religious Conservative,Partisan Left,Missing Link Media,YouTube,R,L
1786.237846478,Religious Conservative,Black,YouTube,YouTube,R,C
29.065632114,MRA,Partisan Right,YouTube,Missing Link Media,C,R
1295.896236991,Religious Conservative,Anti-SJW,YouTube,YouTube,C,R
36.018090614,Partisan Right,Center/Left MSM,YouTube,Missing Link Media,R,L
391.058362234,Libertarian,Anti-theist,YouTube,YouTube,R,C
11877.599327198,Partisan Left,Partisan Left,YouTube,YouTube,C,C
1182.489778511,Socialist,Partisan Right,YouTube,Missing Link Media,L,R
2839.487401554,Social Justice,Religious Conservative,Mainstream Media,YouTube,L,R
1546.28795641,Partisan Left,Partisan Right,YouTube,YouTube,C,R
2697.142659776,Unclassified,Libertarian,Mainstream Media,YouTube,R,R
17666.864870346,Religious Conservative,Partisan Right,YouTube,Missing Link Media,R,R
77.721776501,Partisan Right,Partisan Right,Mainstream Media,YouTube,R,C
1359.522259937,Social Justice,Black,Missing Link Media,YouTube,L,C
86.350859117,Unclassified,Partisan Left,YouTube,Mainstream Media,C,C
49.311301799,Unclassified,QAnon,Mainstream Media,YouTube,R,R
60.373445727,Partisan Left,White Identitarian,Mainstream Media,YouTube,L,R
239.434231508,Libertarian,Socialist,YouTube,YouTube,C,L
691.938074194,QAnon,Center/Left MSM,YouTube,Missing Link Media,R,C
1607.813472767,Center/Left MSM,Religious Conservative,Mainstream Media,Missing Link Media,L,R
10.18664313,Partisan Left,Partisan Right,YouTube,Mainstream Media,L,C
399.125186433,Social Justice,Partisan Left,Mainstream Media,YouTube,L,C
3.370726744,Unclassified,Social Justice,Mainstream Media,YouTube,R,C
2.748547318,Social Justice,Libertarian,YouTube,YouTube,C,C
4.276391277,Conspiracy,Socialist,YouTube,YouTube,C,C
424.559933699,Partisan Right,Partisan Right,Mainstream Media,Mainstream Media,R,C
20.583053548,Anti-SJW,White Identitarian,YouTube,YouTube,L,R
0,Center/Left MSM,Anti-theist,Mainstream Media,YouTube,L,R
11.868165223,Anti-SJW,MRA,YouTube,YouTube,L,C
9.440639811,Anti-theist,Partisan Left,YouTube,Mainstream Media,C,C
0.2737582196,Partisan Left,Black,Mainstream Media,YouTube,L,R
52955.323591239,White Identitarian,Anti-SJW,YouTube,YouTube,R,R
1022520.70382595,Partisan Left,Unclassified,Mainstream Media,YouTube,L,C
23718.748074586,Religious Conservative,Religious Conservative,YouTube,Missing Link Media,R,R
8523.101349532,Center/Left MSM,Conspiracy,Mainstream Media,YouTube,L,C
10.339005196,Unclassified,Social Justice,Mainstream Media,Mainstream Media,L,L
50.813732372,Partisan Left,Conspiracy,YouTube,YouTube,C,R
105022.366979632,Center/Left MSM,Partisan Left,Mainstream Media,YouTube,L,L
1300.423754625,Socialist,Conspiracy,YouTube,YouTube,L,R
60390.732151464,Anti-SJW,Socialist,YouTube,YouTube,C,L
7180.946476337,Anti-SJW,Social Justice,Missing Link Media,YouTube,R,L
616.577829396,Partisan Right,Center/Left MSM,YouTube,Mainstream Media,C,L
2192.986871993,White Identitarian,Unclassified,YouTube,YouTube,R,L
60.903590273,Conspiracy,Unclassified,YouTube,Mainstream Media,L,R
6854.517117873,Social Justice,Unclassified,Missing Link Media,YouTube,L,L
37758.6197617,Partisan Right,Socialist,Mainstream Media,YouTube,R,L
176.439082754,White Identitarian,Partisan Left,YouTube,YouTube,R,C
68.180582558,Partisan Right,Libertarian,YouTube,YouTube,C,R
0.2422899504,Center/Left MSM,Religious Conservative,Missing Link Media,YouTube,L,R
1055.080536017,Partisan Right,Black,Mainstream Media,YouTube,R,C
0.1919561067,,White Identitarian,,YouTube,,R
3.568077728,,Partisan Right,,Missing Link Media,,R
2.50879765,,Social Justice,,YouTube,,C
4517.429310484,Partisan Right,MRA,Mainstream Media,YouTube,R,R
18.653519025,Anti-SJW,QAnon,YouTube,YouTube,R,C
4.347458616,,Anti-theist,,YouTube,,L
18492.032131027,Social Justice,Unclassified,Mainstream Media,YouTube,L,R
565.437509653,MRA,Socialist,YouTube,YouTube,C,L
2188.684713758,Unclassified,QAnon,YouTube,YouTube,R,R
23.415571913,Center/Left MSM,Conspiracy,Mainstream Media,YouTube,L,L
0.01748484864,,Unclassified,,Mainstream Media,,L
17964.476740435,Partisan Right,Conspiracy,Mainstream Media,YouTube,R,C
2237.19168131,Unclassified,Religious Conservative,Mainstream Media,YouTube,R,R
113.940197222,Libertarian,Black,YouTube,YouTube,C,C
2.350693734,Center/Left MSM,Conspiracy,Missing Link Media,YouTube,L,R
65.734449367,Social Justice,White Identitarian,Mainstream Media,YouTube,L,R
329.91130125,Unclassified,Center/Left MSM,YouTube,Missing Link Media,C,L
0.1878401985,Partisan Left,MRA,YouTube,YouTube,C,C
18.629724076,Religious Conservative,Anti-theist,YouTube,YouTube,C,C
5.426607891,Black,White Identitarian,YouTube,YouTube,L,R
0,Partisan Left,QAnon,Mainstream Media,YouTube,C,R
5.823372125,Libertarian,Partisan Right,YouTube,Mainstream Media,R,C
250.335016613,Religious Conservative,Black,Missing Link Media,YouTube,R,C
9.392152809,Unclassified,MRA,YouTube,YouTube,L,C
27.948275218,Social Justice,Partisan Right,YouTube,Mainstream Media,L,C
0,Religious Conservative,Social Justice,YouTube,YouTube,C,C
256.957108508,Anti-SJW,Conspiracy,YouTube,YouTube,L,C
0.3028217444,Anti-SJW,Center/Left MSM,YouTube,Missing Link Media,C,L
82.725161509,Partisan Right,Conspiracy,Mainstream Media,YouTube,C,R
4.124872424,Black,Partisan Left,YouTube,Mainstream Media,R,L
645.614051561,QAnon,Partisan Left,YouTube,YouTube,R,C
36.425381259,Libertarian,MRA,YouTube,YouTube,C,R
0.8232635583,Anti-theist,Black,YouTube,YouTube,R,C
267.577825319,Black,Partisan Right,YouTube,Missing Link Media,L,R
237.794931949,Socialist,Libertarian,YouTube,YouTube,L,C
0,Religious Conservative,White Identitarian,YouTube,YouTube,C,R
17.576406002,Partisan Right,Partisan Left,Mainstream Media,Mainstream Media,R,C
19.989608896,Partisan Left,Partisan Right,Mainstream Media,YouTube,C,R
3238.368049352,QAnon,Partisan Right,YouTube,YouTube,C,R
42.860324292,Unclassified,MRA,YouTube,YouTube,R,C
521.416981789,MRA,Unclassified,YouTube,YouTube,C,R
396.740338469,Unclassified,Partisan Left,Mainstream Media,YouTube,R,C
1007.653948047,Social Justice,Libertarian,Missing Link Media,YouTube,L,C
0.5970248387,Religious Conservative,Conspiracy,YouTube,YouTube,R,L
39.078204081,Libertarian,Social Justice,YouTube,YouTube,C,C
124.814530374,LGBT,Unclassified,YouTube,YouTube,L,R
93.345560243,QAnon,Partisan Right,YouTube,Mainstream Media,R,C
84.399845943,White Identitarian,Religious Conservative,YouTube,YouTube,R,C
9.764811883,Socialist,Partisan Left,YouTube,YouTube,C,L
21.794077279,Social Justice,Center/Left MSM,YouTube,Missing Link Media,L,L
16.195616148,Black,Center/Left MSM,YouTube,Mainstream Media,R,C
2.140337725,Center/Left MSM,Socialist,Mainstream Media,YouTube,C,C
0.09331063689,Conspiracy,MRA,YouTube,YouTube,L,C
0,Black,Black,YouTube,YouTube,L,R
0.3431403871,Religious Conservative,Anti-SJW,YouTube,Missing Link Media,C,R
96.416033448,Unclassified,Socialist,YouTube,YouTube,R,C
5.07579371,MRA,Partisan Left,YouTube,YouTube,R,C
185.148488055,LGBT,Unclassified,YouTube,YouTube,L,L
22.049275074,Anti-SJW,Conspiracy,YouTube,YouTube,L,R
3.262818352,Religious Conservative,Partisan Right,YouTube,YouTube,R,C
0,Unclassified,Social Justice,Mainstream Media,Missing Link Media,L,L
5.036991935,Center/Left MSM,Socialist,Mainstream Media,YouTube,L,C
0,Partisan Left,QAnon,YouTube,YouTube,C,C
0,Religious Conservative,QAnon,YouTube,YouTube,R,C
2.548911402,MRA,LGBT,YouTube,YouTube,C,L
17.884825055,Unclassified,Unclassified,YouTube,Mainstream Media,L,L
4.918447395,Partisan Left,Religious Conservative,YouTube,Missing Link Media,C,R
2.614542559,Black,Partisan Right,YouTube,YouTube,C,C
0.002171233251,Religious Conservative,Anti-theist,YouTube,YouTube,R,R
0.01474306452,Libertarian,Anti-SJW,YouTube,YouTube,C,L
0.005583126551,Anti-SJW,Unclassified,Missing Link Media,Mainstream Media,R,L
15.659116231,Black,Partisan Left,YouTube,Mainstream Media,C,C
29.536563447,Libertarian,Socialist,YouTube,YouTube,R,C
0,Partisan Right,Socialist,Mainstream Media,YouTube,R,C
0.0894191464,Black,LGBT,YouTube,YouTube,L,L
3.912090215,Anti-theist,Unclassified,YouTube,YouTube,R,L
0,Religious Conservative,Center/Left MSM,YouTube,Missing Link Media,C,L
0.8391766129,Partisan Right,Center/Left MSM,Mainstream Media,Missing Link Media,C,C
1.335324623,LGBT,Anti-theist,YouTube,YouTube,C,C
0.4557629752,Anti-theist,Anti-theist,YouTube,YouTube,R,L
35.824027924,Partisan Right,Libertarian,Mainstream Media,YouTube,C,R
0.1589136849,MRA,Conspiracy,YouTube,YouTube,R,L
0.07205913027,Anti-theist,Conspiracy,YouTube,YouTube,C,L
290.246678402,QAnon,Social Justice,YouTube,Missing Link Media,C,L
0.01229918859,QAnon,MRA,YouTube,YouTube,C,R
29.736383487,MRA,LGBT,YouTube,YouTube,R,C
1.022562611,LGBT,Libertarian,YouTube,YouTube,C,R
1.291405275,Black,Anti-SJW,YouTube,YouTube,R,C
157.586442004,Anti-SJW,Anti-theist,Missing Link Media,YouTube,R,L
5.273268797,Religious Conservative,LGBT,YouTube,YouTube,C,L
37.628621944,Black,Anti-SJW,YouTube,YouTube,C,L
0.7824922742,LGBT,Conspiracy,YouTube,YouTube,C,C
5.691942529,Center/Left MSM,Unclassified,Missing Link Media,YouTube,L,R
9.276709255,LGBT,Unclassified,YouTube,YouTube,C,L
4.250829181,Anti-SJW,Anti-SJW,YouTube,Missing Link Media,L,R
0,Partisan Right,White Identitarian,Mainstream Media,YouTube,C,R
0.1586265682,Libertarian,LGBT,YouTube,YouTube,C,L
0.03836838089,Black,Socialist,YouTube,YouTube,R,L
0,Social Justice,Center/Left MSM,YouTube,Missing Link Media,C,L
0.05601707382,Black,Social Justice,YouTube,Mainstream Media,R,L
0.9168156055,Partisan Left,Partisan Left,YouTube,Mainstream Media,C,C
5.251385707,LGBT,Partisan Left,YouTube,Mainstream Media,L,C
0.737445928,LGBT,Anti-SJW,YouTube,Missing Link Media,L,R
736.101521079,Anti-SJW,Partisan Right,Missing Link Media,Mainstream Media,R,C
0.2226376898,Partisan Left,Social Justice,Mainstream Media,YouTube,C,C
0.1877290323,Libertarian,Partisan Right,YouTube,Mainstream Media,C,C
0.007509806452,Partisan Left,LGBT,Mainstream Media,YouTube,C,L
3.805894184,QAnon,Anti-SJW,YouTube,YouTube,C,L
0.3257370223,Black,Center/Left MSM,YouTube,Missing Link Media,L,L
0.4435483871,QAnon,Unclassified,YouTube,Mainstream Media,C,L
0,Anti-SJW,Partisan Right,YouTube,YouTube,L,C
70.073264893,QAnon,Unclassified,YouTube,Mainstream Media,R,L
0.02003722084,Socialist,Center/Left MSM,YouTube,Missing Link Media,C,L
0,MRA,Anti-theist,YouTube,YouTube,R,R
0,Center/Left MSM,Social Justice,Missing Link Media,YouTube,L,C
12.248507382,QAnon,Partisan Left,YouTube,YouTube,C,C
0.3030440074,Anti-SJW,Socialist,YouTube,YouTube,L,C
1.855345267,Conspiracy,MRA,YouTube,YouTube,L,R
0.1725224634,Black,Socialist,YouTube,YouTube,L,C
0.4233715815,Conspiracy,Black,YouTube,YouTube,L,R
5.462851935,Social Justice,Black,Missing Link Media,YouTube,L,R
0.0008799007444,Partisan Right,Conspiracy,Mainstream Media,YouTube,C,L
0.8477225285,Partisan Left,Center/Left MSM,Mainstream Media,Missing Link Media,C,C
1.852070471,Social Justice,Socialist,Missing Link Media,YouTube,L,C
139.33101737,Anti-SJW,Partisan Right,Missing Link Media,YouTube,R,C
0,Conspiracy,Partisan Right,YouTube,Mainstream Media,L,C
0,Anti-theist,Partisan Right,YouTube,Mainstream Media,L,C
0.0006203473945,Conspiracy,Center/Left MSM,YouTube,Missing Link Media,L,L
0,Center/Left MSM,Socialist,Missing Link Media,YouTube,L,C
28861364.8900599,Center/Left MSM,Center/Left MSM,Mainstream Media,Mainstream Media,C,C
12921826.9255004,Center/Left MSM,,Mainstream Media,,L,
290.838370113,Unclassified,Conspiracy,Mainstream Media,YouTube,R,R
235596.680504148,White Identitarian,,YouTube,,R,
57072.964577168,Unclassified,Libertarian,YouTube,YouTube,C,R
2473.334625905,Anti-theist,Libertarian,YouTube,YouTube,C,R
2485648.26961054,Conspiracy,Conspiracy,YouTube,YouTube,R,R
654268.272494903,Anti-SJW,,Missing Link Media,,R,
72656.804633933,Anti-SJW,Conspiracy,YouTube,YouTube,R,R
8189.979211,Partisan Left,Center/Left MSM,YouTube,Missing Link Media,L,C
397658.044362845,Anti-SJW,Partisan Left,YouTube,YouTube,R,L
114024.656904865,Libertarian,Center/Left MSM,YouTube,Mainstream Media,R,L
37037.049374469,,,,,,
192988.85343064,Social Justice,Social Justice,YouTube,Missing Link Media,L,L
144143.400339534,Partisan Right,Social Justice,YouTube,YouTube,R,L
10274524.8400256,Partisan Right,Partisan Right,YouTube,Mainstream Media,R,R
8181520.27989996,Partisan Left,Center/Left MSM,Mainstream Media,Mainstream Media,L,C
496958.413935427,Unclassified,Center/Left MSM,Mainstream Media,Mainstream Media,R,C
4823363.83155021,Center/Left MSM,Partisan Right,Mainstream Media,Mainstream Media,C,R
1730990.58204285,Anti-SJW,Partisan Left,YouTube,Mainstream Media,R,L
124529.545119263,Socialist,Anti-SJW,YouTube,YouTube,L,R
63099.313658109,Anti-SJW,Partisan Right,YouTube,YouTube,C,R
69243.423353582,Unclassified,Partisan Right,YouTube,YouTube,C,R
57896.892961014,Social Justice,Partisan Right,Missing Link Media,YouTube,L,R
48759.825847716,Black,Partisan Right,YouTube,Mainstream Media,L,R
33612.899820779,Socialist,Unclassified,YouTube,YouTube,L,L
58848.354522504,Center/Left MSM,Religious Conservative,Mainstream Media,YouTube,C,R
120896.122166614,Anti-SJW,,YouTube,,L,
33814.148496619,White Identitarian,Libertarian,YouTube,YouTube,R,R
1625.552273557,Partisan Left,Partisan Left,YouTube,YouTube,C,L
85869.411727217,Socialist,Center/Left MSM,YouTube,Mainstream Media,L,L
243185.423567464,Anti-theist,,YouTube,,L,
63133.454801252,Anti-SJW,Partisan Left,YouTube,YouTube,C,L
17379.518679985,Partisan Right,Unclassified,Missing Link Media,YouTube,R,R
86035.90118564,Conspiracy,Partisan Left,YouTube,YouTube,R,L
130.532335771,MRA,Black,YouTube,YouTube,C,C
66782.430896836,Anti-SJW,Unclassified,YouTube,YouTube,R,L
1658588.21213607,Center/Left MSM,Social Justice,Mainstream Media,Mainstream Media,L,L
863.441405239,,Unclassified,,YouTube,,C
19705.547424919,Socialist,Partisan Right,YouTube,YouTube,L,R
200.003979236,,Libertarian,,YouTube,,R
0.01125904467,,Conspiracy,,YouTube,,L
315.743492053,,Social Justice,,Mainstream Media,,L
144674.975597036,Center/Left MSM,Social Justice,Mainstream Media,YouTube,L,L
1593.258820036,Black,Religious Conservative,YouTube,YouTube,L,R
2607.332371739,Partisan Left,MRA,YouTube,YouTube,L,R
119.011010832,Anti-SJW,Partisan Right,YouTube,Missing Link Media,L,R
1259.597539618,Anti-SJW,Social Justice,YouTube,Missing Link Media,L,L
906.044661444,QAnon,Black,YouTube,YouTube,R,C
705.894121327,Unclassified,Partisan Right,YouTube,YouTube,C,C
11.074022661,LGBT,MRA,YouTube,YouTube,L,R
54245.155293744,Anti-SJW,Libertarian,YouTube,YouTube,C,R
0,,Partisan Right,,Mainstream Media,,C
1662.080977446,Libertarian,Black,YouTube,YouTube,R,C
3311.456355683,Unclassified,MRA,YouTube,YouTube,C,R
302.045178674,Center/Left MSM,Unclassified,Missing Link Media,YouTube,C,L
21.518110277,Black,Partisan Right,YouTube,Mainstream Media,C,C
4593.056865329,Partisan Right,Conspiracy,Missing Link Media,YouTube,R,R
29.273773525,Partisan Right,Partisan Left,Mainstream Media,YouTube,C,L
8001.061371267,Center/Left MSM,Social Justice,Missing Link Media,Missing Link Media,C,L
3395.74393872,Religious Conservative,Conspiracy,Missing Link Media,YouTube,R,C
26.451068734,Social Justice,LGBT,Mainstream Media,YouTube,L,L
243487.481144225,Social Justice,Unclassified,YouTube,YouTube,L,C
600754.670273357,Libertarian,,YouTube,,C,
141581.176267562,QAnon,Center/Left MSM,YouTube,Mainstream Media,R,L
102951.606137793,MRA,Center/Left MSM,YouTube,Mainstream Media,R,C
108940.492141402,Black,Partisan Left,YouTube,Mainstream Media,L,L
11659250.3976202,Center/Left MSM,Center/Left MSM,Mainstream Media,Mainstream Media,L,L
16456.83796368,Conspiracy,Religious Conservative,YouTube,YouTube,C,R
614358.422510822,Partisan Right,Unclassified,YouTube,YouTube,R,C
19927.798660722,Black,Black,YouTube,YouTube,L,C
63910946.7846776,Partisan Left,Partisan Left,Mainstream Media,Mainstream Media,L,L
130547.203392534,Socialist,Anti-SJW,YouTube,YouTube,L,C
907.982735026,White Identitarian,Religious Conservative,YouTube,Missing Link Media,R,R
366232.317643766,Partisan Left,Social Justice,YouTube,Missing Link Media,L,L
1362021.29403666,Social Justice,Social Justice,Missing Link Media,Mainstream Media,L,L
14696.808280494,Anti-SJW,Anti-theist,YouTube,YouTube,C,C
2258.739327871,Conspiracy,Black,YouTube,YouTube,C,L
268.84532646,Partisan Left,Center/Left MSM,Mainstream Media,Mainstream Media,C,L
5161.701939038,QAnon,Center/Left MSM,YouTube,Mainstream Media,C,L
226.034699041,Anti-theist,Religious Conservative,YouTube,Missing Link Media,L,R
93601.382693408,Partisan Left,Anti-SJW,Mainstream Media,YouTube,L,R
17.228783428,Libertarian,Conspiracy,YouTube,YouTube,C,C
14480820.8420094,Social Justice,Social Justice,Mainstream Media,Mainstream Media,L,L
71766.568412365,Unclassified,Unclassified,Mainstream Media,YouTube,R,C
17452.013811714,Libertarian,Conspiracy,YouTube,YouTube,R,R
2528.343315488,Social Justice,Religious Conservative,Missing Link Media,Missing Link Media,L,R
1522799.08515583,Partisan Left,Partisan Right,YouTube,Mainstream Media,L,R
10816.556391491,Black,Partisan Left,YouTube,YouTube,L,L
2070.147931058,Partisan Right,Anti-theist,YouTube,YouTube,R,L
813.314907799,Social Justice,Anti-SJW,YouTube,YouTube,L,L
4254.842127438,Black,Partisan Right,YouTube,YouTube,L,R
3125.908547206,QAnon,MRA,YouTube,YouTube,R,R
532.35299362,MRA,Black,YouTube,YouTube,R,C
1966.956440795,Libertarian,MRA,YouTube,YouTube,R,R
99.547338632,Anti-theist,Religious Conservative,YouTube,YouTube,C,C
2493.43294804,Social Justice,Partisan Right,YouTube,Missing Link Media,L,R
250461.390660026,Religious Conservative,Partisan Left,Missing Link Media,Mainstream Media,R,L
4626.701961182,QAnon,Unclassified,YouTube,YouTube,C,C
2214.092959358,MRA,Unclassified,YouTube,YouTube,R,L
39768.190882208,Anti-SJW,Social Justice,YouTube,Missing Link Media,C,L
4317.069440428,MRA,Conspiracy,YouTube,YouTube,R,R
205.940260182,Partisan Left,White Identitarian,YouTube,YouTube,L,R
65374.623405797,Partisan Right,Libertarian,Missing Link Media,YouTube,R,R
14976.003160989,Religious Conservative,Social Justice,Missing Link Media,YouTube,R,L
4476.73029026,Social Justice,Conspiracy,Mainstream Media,YouTube,L,C
1151.198008615,Unclassified,Unclassified,YouTube,Mainstream Media,L,R
83938.359719933,Social Justice,Social Justice,Mainstream Media,YouTube,L,L
127934.29363007,Anti-SJW,Partisan Left,Missing Link Media,Mainstream Media,R,L
434.288378384,Unclassified,White Identitarian,YouTube,YouTube,C,R
70.064836059,Partisan Right,Unclassified,Mainstream Media,Mainstream Media,C,R
70.681080288,MRA,Anti-theist,YouTube,YouTube,C,L
797.057657875,Conspiracy,MRA,YouTube,YouTube,C,R
12.904307919,Religious Conservative,Unclassified,YouTube,YouTube,C,R
191.896060896,Religious Conservative,Conspiracy,YouTube,YouTube,C,R
197.119753324,Conspiracy,Partisan Right,YouTube,YouTube,L,R
991.417484595,Anti-theist,Libertarian,YouTube,YouTube,L,R
338.892087494,Religious Conservative,Anti-theist,Missing Link Media,YouTube,R,C
14.604646752,Anti-theist,Unclassified,YouTube,YouTube,R,R
0.1600605117,Anti-theist,LGBT,YouTube,YouTube,C,C
0.9802071836,QAnon,LGBT,YouTube,YouTube,R,L
6930.067688663,Anti-SJW,Unclassified,YouTube,YouTube,L,C
108.1570417,Partisan Right,Social Justice,Mainstream Media,YouTube,R,C
7542.239437494,Partisan Right,Partisan Right,YouTube,YouTube,C,C
193.83009911,Conspiracy,Anti-SJW,YouTube,YouTube,L,C
386.911343401,Partisan Left,Anti-SJW,YouTube,YouTube,C,C
2377.526099967,Anti-theist,Unclassified,YouTube,YouTube,L,L
22348.566906609,Social Justice,Social Justice,YouTube,YouTube,C,C
2962.271414036,Center/Left MSM,Anti-theist,Mainstream Media,YouTube,C,L
125.450065011,Social Justice,Social Justice,YouTube,Mainstream Media,C,L
486.139957817,QAnon,QAnon,YouTube,YouTube,C,R
42.23762507,,MRA,,YouTube,,C
26.672037783,Anti-theist,Social Justice,YouTube,YouTube,L,C
1590.618067974,Partisan Left,Anti-SJW,Mainstream Media,Missing Link Media,L,R
526.841781992,Libertarian,Anti-theist,YouTube,YouTube,R,L
534016.881424604,Social Justice,Social Justice,Mainstream Media,Missing Link Media,L,L
641.262525461,Anti-SJW,Social Justice,YouTube,YouTube,C,C
361.381049384,Unclassified,MRA,YouTube,YouTube,C,C
5.800761844,LGBT,Partisan Right,YouTube,YouTube,C,R
6319.535578137,Anti-SJW,Anti-SJW,YouTube,YouTube,C,L
0.1337103383,Conspiracy,White Identitarian,YouTube,YouTube,L,R
58.707484681,Religious Conservative,Partisan Left,YouTube,YouTube,R,C
60.167511413,Religious Conservative,Religious Conservative,YouTube,Missing Link Media,C,R
0.1952311414,Center/Left MSM,Partisan Right,Missing Link Media,Missing Link Media,L,R
196.233693016,Partisan Right,Anti-SJW,Missing Link Media,Missing Link Media,R,R
20.702056606,Conspiracy,Conspiracy,YouTube,YouTube,L,C
16.915364766,Partisan Right,Religious Conservative,Mainstream Media,YouTube,C,R
285.210458202,Anti-SJW,Partisan Left,YouTube,YouTube,C,C
0.1054406452,Socialist,QAnon,YouTube,YouTube,L,C
29.868601306,Center/Left MSM,QAnon,Mainstream Media,YouTube,L,C
0,Unclassified,MRA,Mainstream Media,YouTube,L,R
3.740465124,Partisan Right,Conspiracy,Mainstream Media,YouTube,R,L
388527.031254926,Religious Conservative,Anti-SJW,YouTube,YouTube,R,R
82289.075719388,Conspiracy,Partisan Left,YouTube,Mainstream Media,C,L
10064.80264079,Conspiracy,MRA,YouTube,YouTube,R,R
12204.488652925,Social Justice,Black,YouTube,YouTube,L,L
382.530818042,Partisan Right,Social Justice,YouTube,YouTube,R,C
102303.926644548,Partisan Right,Anti-SJW,Missing Link Media,YouTube,R,R
0.963178111,Black,Partisan Left,YouTube,YouTube,R,L
13880.988342859,Anti-SJW,Partisan Left,YouTube,Mainstream Media,L,L
703.828422956,Unclassified,Conspiracy,YouTube,YouTube,L,C
5023.571514149,Anti-SJW,Anti-theist,YouTube,YouTube,C,L
8.219611166,Religious Conservative,Partisan Right,YouTube,Missing Link Media,C,R
9532.176341008,Unclassified,Libertarian,YouTube,YouTube,C,C
2832.625962345,Unclassified,Unclassified,YouTube,YouTube,L,R
24.777478851,Social Justice,Black,YouTube,YouTube,C,C
16357.936851165,Partisan Right,MRA,YouTube,YouTube,R,R
7596.727092043,Partisan Right,Social Justice,Missing Link Media,Missing Link Media,R,L
3993.32271175,MRA,Partisan Right,YouTube,Mainstream Media,C,R
1359.966223217,White Identitarian,MRA,YouTube,YouTube,R,R
198604.792519068,Religious Conservative,Libertarian,YouTube,YouTube,R,R
20124.995913549,Partisan Right,Religious Conservative,Missing Link Media,YouTube,R,R
318.039538154,Anti-SJW,Religious Conservative,YouTube,YouTube,C,C
21166.814422215,Partisan Left,Center/Left MSM,Mainstream Media,Missing Link Media,L,C
1155.693396706,Conspiracy,Religious Conservative,YouTube,YouTube,C,C
55.968803319,Partisan Right,Partisan Right,YouTube,YouTube,C,R
11944.555300315,Unclassified,Conspiracy,YouTube,YouTube,R,C
10.479167841,Center/Left MSM,Partisan Right,Missing Link Media,YouTube,L,R
10.28348177,LGBT,Anti-SJW,YouTube,YouTube,C,C
684.038913461,Partisan Left,Libertarian,YouTube,YouTube,C,R
48.025247208,Unclassified,Anti-SJW,YouTube,Missing Link Media,L,R
881.478949691,Anti-SJW,Partisan Right,YouTube,YouTube,L,R
