,Progress,Duration (in seconds),Finished,RecordedDate,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q41,Q40,Q43,Q43_5_TEXT,Q45,Q45_11_TEXT,Q46,Q35,Q36,Q16,Q19,Q20,Q21,Q97,Q23,Q24,Q26,Q25,Q27,Q92,Q60,Q61,Q62,Q63,Q64,Q67,Q68,Q69,Q95,Q71,Q72,Q81,Q82,Q83,Q85,Q86,Q32
55,100,274,True,2022-10-11 21:45:35,,,38.6438,-77.3451,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,Middle Eastern or Northern African,,Moderate,At least once every day,Always,Never,,,I would just ignore the unwanted content,video,No,,Yes,,4,2,Yes,,Yes,,2,No,,Yes,Yes,,4,No,,Not sure,,4,aaaaaaaaaaaaaaaaaaaaaa62
56,100,486,True,2022-10-11 21:45:39,,,33.8737,-118.236,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Conservative,At least once every day,Always,"Yes, sometimes",The videos got very political and were geared more to supporting views I disagree with.,I hit the not interested button and marked them as not interested.,,video,Yes,Yes,,3,,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,4,,Yes,No,,,4,aaaaaaaaaaaaaaaaaaaaaa48
57,100,315,True,2022-10-11 21:45:45,,,38.581,-121.4939,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,White,,Liberal,At least once every day,Always,"Yes, rarely",Just topics or content creators I’m not interested in watching,I touch the “…” option and select not interested or don’t recommend channel. ,,video,Yes,No,,,3,2,Yes,No,,,4,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa59
58,100,301,True,2022-10-11 21:45:59,,,45.6073,-122.4147,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Liberal,At least once every day,Always,"Yes, rarely",topics that werent interesting to me or my views.,I told youtube not to share these types of videos,,video,Yes,No,,,3,2,Yes,Yes,,3,,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa61
59,100,248,True,2022-10-11 21:46:16,,,35.0892,-80.8194,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every day,Always,"Yes, sometimes",Miscarriage story times,I didn’t know I could do anything about it till now ,,Video,No,No,,,Not sure,2,Yes,No,,,3,No,No,,Yes,,Not sure,No,No,,,Not sure,aaaaaaaaaaaaaaaaaaaaaa64
60,100,461,True,2022-10-11 21:46:21,,,33.9339,-117.8854,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Liberal,At least once every week,Half of the time,"Yes, sometimes",speeches by Donald Trump,I didn't watch,,video,Yes,No,,,3,2,Not sure,Yes,,2,,Yes,Yes,,Yes,2,,No,No,,,2,aaaaaaaaaaaaaaaaaaaaaa52
61,100,276,True,2022-10-11 21:46:50,,,32.5434,-93.7011,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every day,Always,"Yes, rarely",kids unboxing obviously forced by their parents,just ignored it,,video,No,Yes,,Not sure,,2,Yes,No,,,4,Yes,No,,Yes,,Not sure,No,Yes,,Not sure,,aaaaaaaaaaaaaaaaaaaaaa65
62,100,197,True,2022-10-11 21:46:56,,,28.3637,-82.6759,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Conservative,At least once every day,Always,Never,,,Watch more videos I would watch so more of those get recommended,video,Yes,,Yes,,5- completely effective,2,Yes,,Yes,,4,No,,Yes,Yes,,4,No,,Yes,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaa72
63,100,151,True,2022-10-11 21:47:32,,,41.9977,-88.6924,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,Asian or Asian American,,Very liberal,At least once every day,Half of the time,"Yes, sometimes","racist events, violence",i just clicked on another video or flagged it,,video,No,No,,,4,2,Yes,No,,,4,Yes,Yes,,Yes,4,,No,No,,,3,aaaaaaaaaaaaaaaaaaaaaa77
64,100,285,True,2022-10-11 21:47:36,,,41.4946,-90.5675,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Moderate,At least once every week,Most of the time,"Yes, rarely","crime, dark themes, drama ","ignore them, or select that i am not interested",,video,Yes,Yes,,4,,2,Yes,No,,,2,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaa54
65,100,284,True,2022-10-11 21:47:48,,,37.6538,-122.4257,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,Asian or Asian American,,Very liberal,At least once every day,Always,"Yes, rarely",I do not like having videos recommended to me where the thumbnails creep me out/are scary or where I do not care for the topic of the video,"I click on the 3 dots next to the video and click either ""Not Interested"" or ""Don't recommend channel""",,video,Yes,Yes,,Not sure,,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,3,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaa69
66,100,209,True,2022-10-11 21:47:57,,,33.933,-84.604,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Moderate,At least once every week,Always,"Yes, sometimes",Stuff thats not related to the content i just watched,Ignore them,,Video,No,Not sure,,,4,2,No,No,,,4,Yes,Yes,,Yes,4,,No,Not sure,,,4,aaaaaaaaaaaaaaaaaaaaaa75
67,100,285,True,2022-10-11 21:48:39,,,44.0286,-91.6957,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,"Hispanic, Latino, Latina, or Latinx,White",,Very liberal,At least once every day,Always,"Yes, rarely","pro trump videos, conspiracy theory videos",I used the do not recommend this channel option,,video,Yes,No,,,1- not at all effective,2,Yes,No,,,4,Yes,Yes,,Yes,3,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaa73
68,100,527,True,2022-10-11 21:49:13,,,33.5594,-112.0902,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Moderate,At least once every day,Most of the time,"Yes, rarely","transgender, feminist, gen Z, fat acceptance type nonsense","Usually nothing, I just don't click on them, and if I accidentally did, I would just click back button",,video,No,No,,,4,2,Yes,No,,,1- not at all effective,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa60
69,100,187,True,2022-10-11 21:49:27,,,61.1498,-149.8257,anonymous,EN,I consent to participate in this survey,Some college but no degree,Non-binary,,White,,Very liberal,At least once every day,Most of the time,"Yes, rarely",offensive social commentary,i will report the content if it violates any guidelines or select not interested,,video,No,No,,,3,2,Yes,No,,,3,Yes,Yes,,Yes,4,,Yes,No,,,4,aaaaaaaaaaaaaaaaaaaaaa80
70,100,571,True,2022-10-11 21:49:41,,,42.415,-71.0527,anonymous,EN,I consent to participate in this survey,Graduate degree,Man,,White,,Very liberal,At least once every day,Most of the time,"Yes, sometimes","Recommendations for videos that are irrelevant to my interests, such as trending music artists or gamer videos ",I just scroll past without watching ,,Video,Yes,No,,,3,2,Yes,No,,,3,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa57
71,100,622,True,2022-10-11 21:50:13,,,42.7853,-71.0714,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Liberal,At least once every week,Most of the time,Never,,,remove from recomendations,video,Not sure,,Not sure,,5- completely effective,2,Yes,,Not sure,,4,Not sure,,Yes,Yes,,5- completely effective,No,,Not sure,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaa49
72,100,176,True,2022-10-11 21:50:54,,,32.4644,-93.7207,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,White,,Moderate,At least once every day,Always,"Yes, rarely",I wasnt interested,click not interested,,video,Yes,No,,,2,3,Yes,Yes,,4,,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaa87
73,100,503,True,2022-10-11 21:50:56,,,30.0043,-95.1747,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every week,Always,"Yes, rarely",Anything political ,,,Video,Yes,No,,,2,2,Yes,Not sure,,,3,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa66
74,100,247,True,2022-10-11 21:51:13,,,39.5473,-119.7951,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,"Asian or Asian American,White",,Liberal,At least once every day,Always,"Yes, rarely",Sexual assault ,Nothing ,,video,No,No,,,3,2,Yes,No,,,1- not at all effective,No,No,,Yes,,2,No,No,,,2,aaaaaaaaaaaaaaaaaaaaaa82
75,100,472,True,2022-10-11 21:51:17,,,42.6701,-73.7754,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,Prefer not to disclose,,Moderate,At least once every week,Always,"Yes, very frequently",Honestly I find it really hard to keep kid friendly content recommendations. What will start with my kid watching a video game youtube vid will always turn into something wildly inappropriate.,I try to clear my history and change the settings,,video,Yes,Not sure,,,2,2,Yes,Yes,,1- not at all effective,,Not sure,Not sure,,Yes,,2,No,No,,,2,aaaaaaaaaaaaaaaaaaaaaa71
76,100,507,True,2022-10-11 21:51:34,,,39.3773,-74.6123,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Conservative,At least once every day,Less than half of the time,"Yes, sometimes",Mostly it is of political videos and overly sexualized videos ,I usually try to scroll past them. But sometimes they keep showing up for days. I often feel powerless to do anything which is sad,,video,No,No,,,4,2,Yes,No,,,2,No,No,,Yes,,4,No,No,,,3,aaaaaaaaaaaaaaaaaaaaaa70
77,100,427,True,2022-10-11 21:52:19,,,44.8522,-93.7786,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Conservative,At least once every day,Always,"Yes, sometimes",Musix videos i would have no interest in,I just ignored them for the most part or select that im disinterested in them,,Video,Yes,Yes,,Not sure,,2,Yes,No,,,2,Yes,Yes,,Yes,3,,Yes,Not sure,,,3,aaaaaaaaaaaaaaaaaaaaaa78
78,100,955,True,2022-10-11 21:52:20,,,43.5862,-116.5873,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Conservative,At least once every day,Always,"Yes, rarely","About laundry, not something I'm interested in",I can't seem to get them to stop recommending them to me.  I thought maybe there was something i could choose if i went to the video but i failed. Now that i went to the channel laundry/cleaning videos are now recommened even more now :( ,,Video,Yes,No,,,3,2,Yes,No,,,1- not at all effective,No,No,,Yes,,4,No,No,,,3,aaaaaaaaaaaaaaaaaaaaaa46
79,100,276,True,2022-10-11 21:52:27,,,43.6339,-116.2942,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every day,Always,Never,,,make sure I don't click on any of those videos so that they aren't something Youtube thinks I watch,video,Yes,,Not sure,,2,2,Yes,,No,,2,Yes,,Yes,Yes,,4,Not sure,,Yes,,4,aaaaaaaaaaaaaaaaaaaaaa86
80,100,232,True,2022-10-11 21:52:27,,,41.9209,-87.7043,anonymous,EN,I consent to participate in this survey,Some college but no degree,"Woman,Man,Non-binary",,"Hispanic, Latino, Latina, or Latinx,Middle Eastern or Northern African,White",,Very liberal,At least once every day,Always,"Yes, very frequently","politics, true crime","i click the ""not interested"" button. sometimes if a thumbnail is upsetting to me i use ublock origin to remove it",,video,No,No,,,Not sure,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,1- not at all effective,,Yes,Not sure,,,2,aaaaaaaaaaaaaaaaaaaaaa90
81,100,216,True,2022-10-11 21:52:44,,,33.7518,-117.9932,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,Asian or Asian American,,Very liberal,At least once every day,Always,"Yes, rarely",Youtubers caught in scandals--usually surrounding a racist past,click the do not recommend button,,video,No,No,,,4,4,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,4,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa92
82,100,342,True,2022-10-11 21:53:00,,,38.662,-90.2889,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,"Hispanic, Latino, Latina, or Latinx,White",,Very liberal,At least once every day,Most of the time,"Yes, sometimes","topics I wasn't interested in, thumbnails were gross or disturbing",usually scrolled away or returned to the previous page I was on,,video,No,No,,,4,2,Yes,No,,,2,No,No,,Yes,,2,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa84
83,100,283,True,2022-10-11 21:53:10,,,40.7873,-74.3211,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,Asian or Asian American,,Liberal,At least once every day,Always,"Yes, sometimes",Majority of the time it was young women trying to reveal their private parts.,"I clicked on the ""don't recommend this channel"" whenever I encounter unwanted videos.",,video,Yes,No,,,4,2,Yes,Yes,,2,,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaa89
84,100,388,True,2022-10-11 21:53:16,,,40.2039,-76.7286,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Moderate,At least once every day,Half of the time,"Yes, rarely",Usually videos loosely related  to what I was watching. Such as accounting videos I’m not interested in. ,Nothing ,,video,No,No,,,4,2,Yes,Yes,,5- completely effective,,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa81
85,100,138,True,2022-10-11 21:53:44,,,31.1131,-97.7221,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,White,,Very liberal,At least once every day,Always,Never,,,"Select the ""Do not recommend this to me anymore""",video,Yes,,Yes,,Not sure,2,Yes,,No,,1- not at all effective,Yes,,Yes,Yes,,Not sure,Yes,,Yes,,Not sure,aaaaaaaaaaaaaaaaaaaaa100
86,100,467,True,2022-10-11 21:53:51,,,37.9208,-122.0182,anonymous,EN,I consent to participate in this survey,Graduate degree,Man,,Asian or Asian American,,Moderate,At least once every day,Most of the time,"Yes, sometimes",shorts,,,video,Not sure,No,,,Not sure,2,Yes,No,,,Not sure,Yes,No,,Yes,,Not sure,No,No,,,Not sure,aaaaaaaaaaaaaaaaaaaaaa79
87,100,382,True,2022-10-11 21:54:16,,,37.751,-97.822,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Moderate,At least once every day,Always,Never,,,I would go to the corner and select the 3 dots and click not interested.,video,No,,Yes,,3,2,Yes,,No,,1- not at all effective,Yes,,Yes,Yes,,4,Yes,,Yes,,4,aaaaaaaaaaaaaaaaaaaaaa83
88,100,410,True,2022-10-11 21:54:22,,,38.1215,-97.894,anonymous,EN,I consent to participate in this survey,Less than high school degree,Man,,White,,Liberal,At least once every day,Always,"Yes, rarely",Videos of killing rodents,I watch other videos and then different recommendations appear.,,video,Yes,No,,,3,2,Yes,No,,,3,Yes,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa85
89,100,276,True,2022-10-11 21:54:40,,,40.1773,-105.1009,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,White,,Moderate,At least once every day,Always,"Yes, sometimes","Amber Heard and other domestic abusers, Right wing insanity, left wing insanity","Usually I'll just ignore the video. Sometimes I'll click on it and mark ""dislike"".",,video,No,No,,,3,2,Yes,Yes,,2,,No,No,,Yes,,3,No,No,,,3,aaaaaaaaaaaaaaaaaaaaaa97
90,100,355,True,2022-10-11 21:54:54,,,39.1191,-84.349,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Liberal,At least once every day,Most of the time,"Yes, sometimes","Video game reviews, self-help videos, audiobooks",I didn't take any action to remove the unwanted recommendations,,video,No,No,,,2,2,Yes,No,,,1- not at all effective,No,No,,Yes,,3,No,No,,,3,aaaaaaaaaaaaaaaaaaaaaa91
91,100,711,True,2022-10-11 21:55:33,,,39.4722,-74.4566,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,White,,Very conservative,At least once every day,Always,"Yes, sometimes",Political Videos or youtuber I dont like,"I used to 3 dotted button to ""don't recommend me anymore"" and also clicked not interested",,video,Yes,Not sure,,,2,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,3,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaa67
92,100,349,True,2022-10-11 21:55:41,,,36.2082,-115.2957,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,Asian or Asian American,,Liberal,At least once every day,Always,"Yes, rarely",Eye treatments ads were triggering for me because I have a fear of anything related to eyes especially medically,I reported the ad that I did not want to see anything related to it,,video,Yes,Yes,,5- completely effective,,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,5- completely effective,,No,Not sure,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaa95
93,100,367,True,2022-10-11 21:55:56,,,41.703,-83.571,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,"Hispanic, Latino, Latina, or Latinx,White",,Moderate,At least once every day,Always,"Yes, rarely",random media attempting to make the president look bad,mainly ignore or click on the not interested thing in the corner ,,video,Yes,Not sure,,,4,2,Yes,No,,,4,Yes,Yes,,Yes,4,,No,Not sure,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaa94
94,100,664,True,2022-10-11 21:55:57,,,36.1236,-115.2757,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,"Hispanic, Latino, Latina, or Latinx",,Moderate,At least once every week,Half of the time,"Yes, sometimes","sexual looking videos, government related topics",ask for them to be removed,,video,No,Not sure,,,4,2,Yes,No,,,4,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa76
95,100,871,True,2022-10-11 21:56:01,,,40.1215,-75.3269,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,Black or African American,,Liberal,At least once every day,Most of the time,"Yes, rarely","Typically hyper-conservative views on ""the trans agenda"", Black people and culture (13/50 rhetoric), extreme interracial dating preferences (divestment rhetoric).","I will typically click the ""Don't recommend channel"" button or I'll dislike the video (but that's rare; everyone's entitled to their own views. Unless it's super disrespectful or harmful, I won't do this)",,video,Yes,No,,,1- not at all effective,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,Not sure,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaa63
96,100,450,True,2022-10-11 21:56:04,,,33.9764,-117.3341,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,Asian or Asian American,,Liberal,At least once every day,Always,"Yes, rarely","arachnids, horror ","I clicked on the ellipsis of that video and then ""not interested"" or ""do not recommend"" ",,video,Yes,Yes,,3,,2,Yes,No,,,Not sure,Yes,Yes,,Yes,5- completely effective,,Not sure,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaa56
97,100,261,True,2022-10-11 21:56:42,,,33.5038,-112.0253,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Moderate,At least once every day,Always,"Yes, sometimes","My kid watches videos on my account, but on another phoen and her interests often pop up on my stuff",,,Video,No,No,,,2,2,Yes,No,,,1- not at all effective,No,No,,Yes,,2,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa101
98,100,406,True,2022-10-11 21:57:40,,,33.0035,-117.0696,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,Asian or Asian American,,Very liberal,At least once every day,Always,"Yes, sometimes",A hunter or farmer shooting coyotes or other animals,I dislike the video.,,video,No,No,,,2,2,Yes,Yes,,3,,Yes,No,,Yes,,3,Yes,No,,,3,aaaaaaaaaaaaaaaaaaaaaa99
99,100,895,True,2022-10-11 21:57:43,,,39.1678,-84.4975,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Very conservative,At least once every day,Always,"Yes, sometimes",Usually political that I don’t agree with,Nothing or did not click on them,,Video,No,No,,,5- completely effective,2,No,No,,,5- completely effective,No,No,,Yes,,5- completely effective,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaa68
100,100,1153,True,2022-10-11 21:57:55,,,45.6435,-122.6247,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Liberal,At least once every day,Most of the time,"Yes, sometimes","Conservatives ""owning"" liberals with false logic, ""how to make a bunch of money quick"" videos, ""inspirational"" videos by people like Gary V, and Jordan Peterson/Ben Shapiro videos","I usually don't do anything because I still sometimes want to see what those types of people are up to, but sometimes if 1 creator who is really annoying comes up repeatedly I will ""Do Not Recommend"" them.",,video,No,No,,,3,2,Yes,No,,,1- not at all effective,Yes,No,,Yes,,2,Yes,No,,,3,aaaaaaaaaaaaaaaaaaaaaa51
101,100,210,True,2022-10-11 21:58:03,,,34.2666,-118.7643,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,White,,Moderate,At least once every week,Always,"Yes, sometimes",Sexual in nature,I did nothing because I wasn't sure what to do. ,,video,Yes,No,,,3,2,Yes,No,,,3,No,No,,Yes,,4,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa109
102,100,350,True,2022-10-11 21:58:18,,,38.5774,-90.6709,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,White,,Very liberal,At least once every week,Most of the time,"Yes, sometimes","Influencer videos, music im not interested in, get rich quick schemes",Either remove from the queue or click not interested. If its truly distasteful i will hit the thumbs down button,,Video,No,No,,,3,2,Yes,Yes,,2,,Yes,Yes,,Yes,3,,Yes,Yes,,3,,aaaaaaaaaaaaaaaaaaaaa102
103,100,606,True,2022-10-11 21:58:19,,,36.2709,-115.28,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,Black or African American,,Liberal,At least once every week,Always,"Yes, rarely",Racial ,I clicked the “ not interested” tab,,Video,Yes,No,,,5- completely effective,5- completely effective,Yes,No,,,4,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa88
104,100,340,True,2022-10-11 21:58:24,,,35.3656,-78.092,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Very liberal,At least once every day,Never,"Yes, very frequently",Men mad at women,I do not do anything and just do not watch them.,,video,No,No,,,3,2,Yes,No,,,Not sure,No,No,,Yes,,3,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa103
105,100,317,True,2022-10-11 21:58:44,,,36.0088,-115.2178,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Moderate,At least once every day,Most of the time,"Yes, rarely",Topics that I am not interested in viewing. ,I didn't take any action,,video,Yes,Yes,,5- completely effective,,2,Yes,No,,,3,Not sure,Not sure,,Yes,,3,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa105
106,100,272,True,2022-10-11 21:58:58,,,38.8511,-104.7688,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Liberal,At least once every day,Always,Never,,,See if there was a way to remove this specific video and type of video from my recommendations.,Video,Not sure,,Yes,,4,2,Yes,,No,,1- not at all effective,Yes,,Yes,Yes,,3,Yes,,Yes,,3,aaaaaaaaaaaaaaaaaaaaa108
107,100,529,True,2022-10-11 21:59:19,,,32.3142,-106.7976,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,"Hispanic, Latino, Latina, or Latinx",,Conservative,At least once every day,Always,"Yes, sometimes",Some videos are from news outlets I do not like. There has been a few videos that I do not like the topic or I am not interested at all.,I clicked on the options tab of video and clicked on Do Not Like or Do not recommend channel ,,Video,No,No,,,4,2,No,No,,,4,No,No,,Yes,,5- completely effective,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa98
108,100,269,True,2022-10-11 22:00:18,,,41.7797,-87.872,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,"Hispanic, Latino, Latina, or Latinx,White",,Moderate,At least once every week,Always,Never,,,I would select do not recommend video or do not recommend channel,video,Yes,,Yes,,4,2,Yes,,Yes,,3,Yes,,Yes,Yes,,4,Yes,,Yes,,4,aaaaaaaaaaaaaaaaaaaaa112
109,100,980,True,2022-10-11 22:00:38,,,33.6563,-112.1706,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Liberal,At least once every week,Most of the time,"Yes, rarely","videos that are sensationalistic, remind me of something I want to forget, have to do with an embarrasing topic",cleared my viewing history,,video,Yes,Yes,,5- completely effective,,2,Yes,No,,,2,No,No,,Yes,,4,No,No,,,3,aaaaaaaaaaaaaaaaaaaaaa74
110,100,242,True,2022-10-11 22:01:00,,,35.1013,-106.5247,anonymous,EN,I consent to participate in this survey,Associate degree,Woman,,"Hispanic, Latino, Latina, or Latinx,White",,Moderate,At least once every week,Always,"Yes, sometimes",Mainly a lot of people who play video games or are about anime,I just leave them. I just make sure not to press the video,,Video,No,No,,,5- completely effective,2,Yes,No,,,5- completely effective,No,No,,Yes,,4,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa115
111,100,239,True,2022-10-11 22:01:10,,,37.7688,-122.262,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,Native Hawaiian or Other Pacific Islander,,Conservative,At least once every day,Most of the time,"Yes, sometimes",Some videos about make up tutorials and other feminine things that I wasn't interested in.,"I disliked the video, or just skipped it.",,video,No,No,,,3,2,Yes,Yes,,4,,Yes,Yes,,Yes,Not sure,,No,No,,,Not sure,aaaaaaaaaaaaaaaaaaaaa117
112,100,204,True,2022-10-11 22:01:17,,,45.0196,-93.2402,anonymous,EN,I consent to participate in this survey,Graduate degree,Man,,White,,Very liberal,At least once every day,Most of the time,"Yes, sometimes",Conservative and alt-right content,I don’t click or watch them,,Video ,No,No,,,2,2,Yes,Yes,,2,,No,No,,Yes,,2,No,No,,,2,aaaaaaaaaaaaaaaaaaaaa122
113,100,368,True,2022-10-11 22:01:43,,,42.8856,-78.8736,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every day,Always,"Yes, rarely",they were negative videos about a creator i like,i clicked on the 3 dots to the side of the video and said i was not interested,,video,Yes,Yes,,2,,2,Yes,Yes,,4,,Yes,Yes,,Yes,5- completely effective,,Yes,No,,,Not sure,aaaaaaaaaaaaaaaaaaaaa111
114,100,449,True,2022-10-11 22:01:44,,,43.2159,-78.0731,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,White,,Moderate,At least once every day,Always,"Yes, very frequently",animal abuse,pushed the three dots and reported the video ,,video,Yes,Yes,,3,,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaa107
115,100,497,True,2022-10-11 22:02:18,,,36.143,-80.3073,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Very liberal,At least once every day,Always,"Yes, sometimes",These were videos from far-right posters.,"I clicked on the dots next to the thumbnail, selected Not Interested.",,video,No,No,,,3,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,5- completely effective,,Yes,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa106
116,100,272,True,2022-10-11 22:02:29,,,40.9794,-81.5357,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Liberal,At least once every day,Always,"Yes, very frequently",Videos from music bands that I NEVER listen to,I went through and hit dislike on the screen,,video,Yes,Yes,,1- not at all effective,,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,1- not at all effective,,No,No,,,2,aaaaaaaaaaaaaaaaaaaaa121
117,100,310,True,2022-10-11 22:02:39,,,39.0503,-77.3909,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,White,,Conservative,At least once every day,Most of the time,"Yes, sometimes",General political videos or videos I have already watched,"Sometimes I click the not interested button, although I feel like it doesn’t really do anything",,video,No,No,,,2,2,Yes,No,,,2,Yes,Yes,,Yes,3,,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa120
